profile_id,point_id,point_name,x_utm,y_utm,z_m
39,2,Edge_Left,748891.7906688575,6345343.147460944,-2538.389892578125
39,3,Edge_Right,743419.1160638841,6328925.123644412,-2510.336669921875
39,4,Wmax_Dmax_Intersection,744805.3006598038,6333083.677432579,-2517.442326281685
40,1,Talweg,744499.7872051018,6334788.549232888,-3740.8662109375
40,2,Edge_Left,745445.0645120257,6344508.430144967,-2793.20751953125
40,3,Edge_Right,743927.4931778574,6328903.895332105,-2502.01513671875
40,4,Wmax_Dmax_Intersection,744499.7872051019,6334788.549232888,-2611.8272145503456
41,1,Talweg,742612.805640103,6335741.471899689,-4010.639404296875
41,2,Edge_Left,742392.8127580228,6343881.208538028,-2802.346435546875
41,3,Edge_Right,742816.3416883351,6328210.638113828,-2499.86376953125
41,4,Wmax_Dmax_Intersection,742612.805640103,6335741.471899689,-2645.2284001224816
42,1,Talweg,740621.006612384,6335609.1938733,-4272.5693359375
42,2,Edge_Left,739570.3098615853,6343114.170666473,-3189.9091796875
42,3,Edge_Right,741490.3752103052,6329399.418172414,-2665.551025390625
42,4,Wmax_Dmax_Intersection,740621.0066123841,6335609.1938733,-2902.9702953719598
43,1,Talweg,738640.7714261921,6335330.749064138,-4471.0693359375
43,2,Edge_Left,737826.0784897314,6340308.248295368,-3712.420166015625
43,3,Edge_Right,739774.5421644595,6328403.792016206,-2912.979736328125
43,4,Wmax_Dmax_Intersection,738640.7714261921,6335330.749064138,-3378.1575982115905
44,1,Talweg,736758.6703717782,6334803.035508987,-4729.47265625
44,2,Edge_Left,736473.3554716866,6340246.116423771,-3768.7666015625
44,3,Edge_Right,737079.8373757147,6328675.9878538335,-3008.263427734375
44,4,Wmax_Dmax_Intersection,736758.6703717781,6334803.035508987,-3410.993540867883
45,1,Talweg,735312.6351359695,6333520.13098901,-4873.02685546875
45,2,Edge_Left,735191.2811829249,6339386.071688949,-3971.015380859375
45,3,Edge_Right,735436.9689279256,6327510.152473146,-3021.078125
45,4,Wmax_Dmax_Intersection,735312.6351359695,6333520.13098901,-3501.8074391180176
46,1,Talweg,733474.3551903211,6332833.381320504,-4937.787109375
46,2,Edge_Left,733674.7489739734,6339436.046698507,-4100.75732421875
46,3,Edge_Right,733315.2874285018,6327592.344475052,-3574.708251953125
46,4,Wmax_Dmax_Intersection,733474.3551903211,6332833.381320504,-3807.4937879487597
47,1,Talweg,731564.5691976425,6332406.690257777,-5005.4267578125
47,2,Edge_Left,732000.7686519506,6341216.180845207,-4203.77001953125
47,3,Edge_Right,731333.3366137284,6327736.713596003,-3691.852294921875
47,4,Wmax_Dmax_Intersection,731564.5691976425,6332406.690257777,-3869.2067691364005
48,1,Talweg,729649.159649905,6332437.038431557,-5195.099609375
48,2,Edge_Left,730252.0194449606,6343181.9275260195,-4197.55322265625
48,3,Edge_Right,729380.4717923494,6327648.1617239965,-3781.403564453125
48,4,Wmax_Dmax_Intersection,729649.1596499052,6332437.038431557,-3909.6975937585376
49,1,Talweg,727720.5903125701,6332967.673862956,-5320.65966796875
49,2,Edge_Left,728949.2088130965,6343674.206509236,-4205.009765625
49,3,Edge_Right,726823.0953999374,6325146.646768007,-4051.96826171875
49,4,Wmax_Dmax_Intersection,727720.5903125701,6332967.673862956,-4116.57157512969
50,1,Talweg,725740.1529082129,6332856.398954412,-5363.2626953125
50,2,Edge_Left,727339.4011796656,6343251.512720385,-4199.79736328125
50,3,Edge_Right,724382.6923097245,6324032.905062939,-4477.8134765625
50,4,Wmax_Dmax_Intersection,725740.1529082129,6332856.398954412,-4350.172935635083
51,1,Talweg,724205.582285073,6333758.574317522,-5369.697265625
51,2,Edge_Left,725494.3132039291,6344829.01816746,-4196.86962890625
51,3,Edge_Right,723003.7837801012,6323434.896446864,-4478.828125
51,4,Wmax_Dmax_Intersection,724205.5822850729,6333758.574317522,-4342.769785023143
52,1,Talweg,722583.7470777305,6334539.572796581,-5455.26708984375
52,2,Edge_Left,723362.1197383535,6347276.6664259,-4197.12060546875
52,3,Edge_Right,721899.4161604809,6323341.354504244,-4483.02685546875
52,4,Wmax_Dmax_Intersection,722583.7470777305,6334539.572796581,-4349.264629635929
53,1,Talweg,721011.3592288874,6335782.695082625,-5492.11767578125
53,2,Edge_Left,721371.7209806574,6348516.074941973,-4300.1171875
53,3,Edge_Right,720649.2995024978,6322989.317302536,-4570.99365234375
53,4,Wmax_Dmax_Intersection,721011.3592288872,6335782.695082625,-4435.237086804565
54,1,Talweg,719364.8263351227,6336242.845951317,-5531.275390625
54,2,Edge_Left,720432.3524882369,6348568.222898764,-4305.14501953125
54,3,Edge_Right,718043.4253608199,6320986.296910816,-4679.41259765625
54,4,Wmax_Dmax_Intersection,719364.8263351226,6336242.845951317,-4472.391823891986
55,1,Talweg,718089.3624661267,6335142.985268547,-5544.953125
55,2,Edge_Left,719850.9354507033,6348817.694566216,-4354.22705078125
55,3,Edge_Right,716504.7016744945,6322841.606982939,-4670.791015625
55,4,Wmax_Dmax_Intersection,718089.3624661267,6335142.985268547,-4520.877250873071
